question,answer
What is Gerstmann-Straussler-Scheinker syndrome.,"Gerstmann-Straussler-Scheinker syndrome

A rare inherited human prion disease characterized by adult onset of slowly progressive cerebellar ataxia, with dementia developing relatively late in the disease course (classic ataxic phenotype). Patients may present with gait disturbances and frequent falls, dysarthria, dysphagia, nystagmus, dysmetry, and eventually pancerebellar syndrome, myoclonus, spasticity, severe dementia, and mutism. The disease is invariably fatal after five years on average. Neuropathological hallmark is the presence of numerous multicentric prion protein plaques in the cerebral and cerebellar cortex.

UMLS: C0017495

Age of onset: Adult"
What is Congenital factor XIII deficiency.,"Congenital factor XIII deficiency

A rare inherited bleeding disorder due to reduced coagulation factor XIII (FXIII) activity level and characterized by hemorrhagic diathesis, frequently associated with spontaneous abortions and defective wound healing. The disease may manifest at any age, but the most severe and life-threatening symptoms such as post-birth umbilical cord bleeding, cephalohematoma, and intracranial hemorrhage, manifest during the neonatal period.

UMLS: C0015530

Age of onset: All ages

Antenatal diagnosis should be performed in families with severe FXIIID cases; no specific guidelines are available.

FXIIID can manifest at any age, but diagnosis is often made during infancy. Umbilical stump bleeding manifests in up to 80% of patients. Other common signs include intracranial hemorrhage (ICH) (25-30%), soft tissue bleeding, bruising, hemarthroses (20%), and recurrent spontaneous abortions. In most cases, hemorrhages are delayed (12-36hr) after trauma or surgery. Patients may have poor wound healing. Acquired forms of the disease have also been reported in association with hepatic failure, inflammatory bowel disease, and myeloid leukemia.

Diagnosis is based on quantitative FXIII activity measurement assays. Common clotting assays such as activated Partial Thromboplastin Time (aPTT) and Prothrombin Time (PT) are normal and cannot be used for the screening. The most widely used screening test is the clot solubility test. However, this method detects only severe FXIII deficiency (with activity <5%), therefore is not recommended. The FXIII deficiency diagnosis could be performed by the estimation of FXIII activity using photometric or incorporation assays, however, the plasma blanking procedure is mandatory to avoid the activated FXIII-independent ammonia release that could lead to incorrect results in the low-activity range (below 5-10%).

Differential diagnoses mainly include the other congenital coagulation factor deficiencies, however, FXIIID is not identified by routine coagulation assays as PT and aPTT, therefore specific FXIII assays have to be performed.

Congenital FXIII deficiency (FXIIID) is one of the rarest coagulation factor deficiencies. Prevalence of the disease is estimated at around 1 in 1 to 3 million individuals. Both sexes are equally affected. In some geographical areas where the practice of consanguineous marriages is common, the occurrence of FXIIID is relatively more frequent.

FXIIID is usually caused by mutations in the F13A1 gene (6p24.2-p25) encoding the catalytic A subunit, but mutations could also be found in the F13B gene (1q31-q32.1) encoding the B subunit. Transmission is autosomal recessive. The phenotype is less severe when gene mutations are on the F13B gene.

Transmission is autosomal recessive. Affected families (both parents are carrier of a pathogenic variant) have a 25% chance of having an affected child at each pregnancy. Genetic counseling should be offered to families with high risk of severe cases.

Prophylaxis is necessary in cases with severe and moderate FXIII deficiency showing severe bleedings. pdFXIII concentrate and recombinant FXIII-A2 should be used for prophylaxis.

Patients with high risk of intracranial bleeding could have a low quality of life."
What is Abnormal origin of the pulmonary artery.,"Abnormal origin of the pulmonary artery

ORPHA:1138

UMLS: C0265912"
What is Cowden syndrome.,"Cowden syndrome

A genodermatosis characterized by the presence of multiple hamartomas in various tissues and an increased risk for malignancies of the breast, thyroid, endometrium, kidney and colorectum. When CS is accompanied by germline PTEN mutations, it belongs to the PTEN hamartoma tumor syndrome (PHTS) group.

UMLS: C0018553

Age of onset: All ages

Antenatal diagnosis is possible for at-risk pregnancies if the disease-causing mutation is discovered in an affected family member.

Disease manifestations usually occur between the second and third decades of life but can appear at any age. The most commonly, but not uniformly, reported manifestations are macrocephaly (specifically, megalencephaly), mucocutaneous lesions, thyroid abnormalities, fibrocystic disease and carcinoma of the breast, gastrointestinal hamartomas, multiple early onset uterine leiomyomas, and developmental delay. Macrocephaly and rarely dysmorphic facies, if present, are evident at birth. Malignancies such as breast cancer (with an 85% lifetime risk), epithelial thyroid cancer, renal cancer and endometrial carcinoma often appear later in life. Clinicians should consider other red flags of a CS diagnosis which includes Lhermitte-Duclos disease (dysplastic cerebellar gangliocytoma which is pathognomonic of CS), mucocutaneous stigmata such as trichilemmomas and papillomatous papules (believed to exist in 100% of CS patients by age 30), ganglioneuromatous gastrointestinal polyps, glycogenic acanthosis, pediatric differentiated (non-medullary) thyroid cancer and endometrial cancer diagnosed relatively early.

The International Cowden Consortium for CS lists the pathognomonic (mucocutaneous lesions, LDD), major (breast cancer, macrocephaly, thyroid cancer and endometrial cancer), and minor criteria used to diagnose this disease. An operational diagnosis is given if a patient displays the pathognomonic skin lesions, two or more major, one major and 3 or more minor, or 4 or more minor criteria. A quantitative scoring system for adults and a separate pediatric criteria system have now been created to aid clinicians at the point of care. Finding germline mutations in PTEN or other causal genes confirms diagnosis.

Juvenile-polyposis syndrome, Peutz-Jeghers syndrome, Birt-Hogg-Dubé syndrome, Gorlin syndrome and neurofibromatosis type 1.

The prevalence of Cowden syndrome is unknown but is estimated at 1/200,000.

It is now believed that 25% of CS and CS-like cases are caused by germline mutations in PTEN (10q23), which encodes a dual-specificity phosphatase. Patients with CS/CS-like phenotypes that do not have PTEN involvement have been found to have germline promoter methylation of KLLN (up to 30%), germline variations in SDHB-D (10%), or germline mutations in AKT1 and PIK3CA (10%). More recently, germline SEC23B and USF3 were identified in PTEN wildtype CS/CS-like patients with differentiated thyroid cancer as a predominant phenotype.

CS is inherited autosomal dominantly. Genetic counseling can be offered to patients with germline PTEN mutations and asymptomatic family members should also be tested so that those with a mutation can be monitored before symptom onset.

Management and treatment are multidisciplinary and based on genotype. Once a PTEN germline mutation is identified, surveillance guidelines should be followed. Thyroid ultrasound should begin once a mutation is identified, starting at the age of 7. A colonoscopy and biennial renal imaging should begin between the ages of 35-40, unless symptomatic. Women should perform monthly breast self-examinations and yearly breast screenings as well as transvaginal ultrasounds (postmenopausal) or endometrial biopsies beginning at the age of 35.

The pinpointing of the diagnosis (especially by gene) and instituting organ-specific surveillance at the right time results in a good prognosis. When advanced cancers occur before diagnosis is made, a poor outcome is common."
What is Maternal phenylketonuria syndrome.,"Maternal phenylketonuria syndrome

A rare disorder of phenylalanine (Phe) metabolism, an inborn error of amino acid metabolism, characterized by the development of microcephaly, growth retardation, congenital heart disease, facial dysmorphism and intellectual disability in non-phenylketonuric offspring of mothers with excess blood Phe concentrations.

UMLS: C0085547

Age of onset: Antenatal, Neonatal

Hyperphenylalaninemia is classified by blood Phe concentrations of more than 1,200 micromol/L (classic PKU) or less than 600 micromol/L (mild hyperphenylalaninemia), between 600 and 1,200 micromol/L as mild PKU. Maternal phenylketonuria syndrome has been shown to result in intrauterine and postnatal growth retardation with associated low birth weight, microcephaly, and intellectual disability in the offspring. Congenital heart malformation is also found and may include double-chambered right ventricle, tetralogy of Fallot, and ventricular septal defects. In severe cases, facial dysmorphism may also occur with various features reported including receding forehead, ptosis or fused eyes, strabismus, dysplastic ear helices, high palate, underdeveloped philtrum, anteverted nostrils, broad flat nasal bridge, deviated nasal septum, and micrognathia. Optimal maternal blood Phe concentrations should be strictly maintained throughout pregnancy to reduce the risk of these abnormalities. This can be achieved by minimal dietary Phe intake, along with tyrosine-enriched supplements. Studies have also shown that dietary treatment to control blood Phe concentrations can prevent the disorder if started before conception.

The diagnosis is based on clinical observation, blood Phe analysis and genetic test to evaluate the presence of the PAH variant.

The incidence of maternal phenylketonuria (PKU) in Europe is not known. Increased survival and improved health among females with treated PKU, thanks to neonatal screening, has increased the number of potential pregnancies with a risk of elevated maternal blood Phe.

Abnormally high maternal blood Phe concentrations underlie the clinical effects found in children with this disorder. PKU and hyperphenylalaninemia are caused by mutations in the PAH gene (12q22-q24.2).

Phenylketonuria is transmitted in an autosomal recessive manner. Children of affected parents will therefore mostly (75%) be heterozygous carriers or non-carriers of the defect.

Maternal PKU is managed by a strict low-Phe diet (commonly ≤ 6 g/day natural protein is tolerated in the early stages of pregnancy but PHE amount is dependent on PKU severity), together with a Phe-free L-amino acid supplement and sufficient energy intake to ensure adequate maternal weight gain during pregnancy. The protein equivalent from amino acid and natural protein should supply ≥ 70 g/ day protein. Nausea and vomiting during the early phases of pregnancy is common and may lead to inadequate intake of amino acid and energy and subsequently unsatisfactory blood Phe control.

Prognosis is favorable if blood Phe concentrations are kept strictly below 360 micromol/L before and during the entire pregnancy."
What is Sturge-Weber syndrome.,"Sturge-Weber syndrome

A rare congenital neurocutaneous syndrome defined by a facial capillary malformation or port-wine birthmark (PWB) associated with cerebral and ocular ipsilateral vascular malformations in most of the cases resulting in variable ocular and neurological complications.

UMLS: C0038505

Age of onset: Antenatal, Neonatal

Prenatal ultrasounds are usually normal.

The facial port-wine birthmark is present at birth and covers the forehead and/or the upper eyelid (at risk zone). Glaucoma is the most common ocular complication, affecting 30 to 60% of patients with a risk of early visual impairment. Epilepsy is often the first neurological manifestation. Around 80% of patients develop seizures at a median age of 6 months. First seizures are usually focal motor. Drug resistant seizures are reported in up to 50% of patients and status epilepticus is commonly seen. Fever induced seizures are frequently reported. A pattern of seizure clustering followed by prolonged period of seizure freedom occurs in 40% of cases. The natural history is highly variable but typically marked by seizures in early childhood, stroke-like events, progressive hemiparesis and developmental impairment, glaucoma and visual field defects. Later manifestations include headaches, academic difficulties, behavioral and psychiatric disorders. An increased risk of growth hormone deficiency is reported.

Diagnosis is suspected at birth in newborns presenting facial PWB in the at risk zone. The risk of cerebral involvement in such situation ranges between 15 and 40%. Diagnosis can be confirmed by a contrast-enhanced cerebral magnetic resonance imaging showing direct (angioma) and indirect (enlargement of choroid plexus unilaterally) radiological signs of the leptomeningeal angioma. A computer tomography scan can help diagnosis showing localized calcifications and atrophy, although they might develop later during the course of the disease. Electroencephalogram (EEG) recording can show decreased amplitude of the EEG signal on the side of brain involvement.

The main diagnostic concern is to separate infants with an isolated facial PWB from those with Sturge-Weber syndrome (SWS) brain involvement. Differential diagnosis includes PIK3CA-related overgrowth syndromes, especially megalencephaly-capillary malformation-polymicrogyria (MCAP) syndrome.

The birth prevalence in Europe is estimated at around 1/20,000 to 1/50,000.

The syndrome is caused by a somatic mosaic mutation in GNAQ (9q21) that codes for the protein guanine nucleotide-binding protein G(q) subunit alpha which is critical to the intracellular signaling of a large group of G protein coupled receptors important to vascular development and function. Mutations in GNAQ can also result in an isolated PWB phenotype. The phenotypic presentation is thought to be determined by the developmental time point at which the somatic mutation occurs.

The disease is sporadic and due to somatic mutations.

A multidisciplinary approach is needed from onset to monitor disease progression in the skin, eye, and brain. Laser treatment is proposed in infancy to reduce the PWS. Regular ocular monitoring is recommended throughout life. Eye drops are used to lower intraocular pressure but surgical interventions may be required. Parental education for early seizure recognition and individualized emergency plans including the use of rescue benzodiazepine therapy is recommended. Low-dose aspirin might be useful to prevent the stroke-like episodes and possibly seizures but the risk-benefit ratio of such approach is not well established. Antiseizure medications are used to treat epilepsy. Patients with focal drug-resistant seizures should be considered early for pre-surgical evaluation at a reference center. Neuropsychological assessments and rehabilitation are needed and physiotherapy is required for functional deficits.

The prognosis of SWS is highly variable. Early seizure onset, drug-resistant seizures and bilateral intracranial involvement have been associated with poor cognitive outcomes."
What is Non-specific interstitial pneumonia.,"Non-specific interstitial pneumonia

A rare idiopathic interstitial pneumonia characterized by temporally uniform alveolar and interstitial mononuclear cell inflammation (cellular type) and/or fibrosis of the alveolar walls (fibrotic type) with preserved alveolar architecture. Other types of interstitial lung disease must be excluded. Symptoms are non-specific and include dyspnea, cough, and often constitutional symptoms such as fever and fatigue. Pulmonary function test reveals a restrictive pattern. Computed tomography shows predominantly lower lobe subpleural reticular changes, traction bronchiectasis, and ground-glass opacities. The cellular type of the disease is less common but carries a better prognosis.

UMLS: C1290344"
What is Distal deletion 10p syndrome.,"Distal deletion 10p syndrome

Distal monosomy 10p is a rare chromosomal disorder in which the tip of the short arm (p arm) of chromosome 10 is deleted resulting in a variable phenotype depending on the size of the deletion. The deletion may involve only the terminal 10p15 band, or extend towards the centromere to bands 10p14 or 10p13.

UMLS: C4304502

Age of onset: Childhood

Prenatal diagnosis is feasible and genetic counseling should be proposed and depends on the cytogenetic rearrangement responsible for the deletion (de novo or translocation).

Distal monosomy 10p encompassing the 10p13 band is associated with cardiac malformations and immune anomalies that overlap with the anomalies reported in the deletion 22q11 syndrome (DiGeorge syndrome/velocardiofacial syndrome spectrum (DGS/VCFS)) with hypoparathyroidism, hypocalcemia, congenital conotruncal heart defects, thymus hypoplasia leading to T-cell deficiency and intellectual deficit. More than 25 patients have been reported with del(10)(p13). In addition to the anomalies related to the DiGeorge syndrome (e.g. conotruncal malformation with thymic hypoplasia), these patients often show an abnormally shaped skull, microcephaly, a long face, high forehead, broad nasal bridge, downslanting palpebral fissures, anteverted nares, hand and foot abnormalities, genitourinary anomalies, hearing loss and severe psychomotor retardation, resulting in a clinical picture that clearly differs from that of the classic 22q11 deletion syndrome. However, due to the similarities in the malformations observed in the two syndromes, del(10)(p13) is referred to as DGS2. The critical region for DGS2 has been mapped to within a 1cM interval in 10p13 which contains the CUGBP2 gene, a candidate gene for developmental heart defects. Smaller deletions involving the region 10p14-pter have been described in < than 10 patients. Some of these patients exhibited the triad: Hypoparathyroidism, sensorineural Deafness, and Renal anomaly (HDR syndrome). Haploinsufficiency for the trans-acting T-cell-specific transcription factor GATA-3 (encoded by the GATA3 gene, and mapped to the 10p14-pter region) is responsible for this phenotype. Pure subtelomeric deletions involving 10p15-ter are very rare (< 6 children reported so far).

Diagnosis requires cytogenetic analysis and molecular characterization and should include a search for a translocation because deletion may be the result of transmission of a derivative chromosome.

The differential diagnosis for patients with distal monosomy 10p should include deletion 22q11 syndrome and other causes of hypoparathyroidism, depending on the phenotype.

Around 50 cases of pure distal monosomy 10p have been reported.

The phenotype remains unclear: low birth weight, persistent growth delay, mild psychomotor retardation and hypotonia have been reported, together with single reports of ventricular septal defect, hydrocephalus and hypogenitalia. Distal monosomy 10p generally occurs de novo or may be associated with a parental translocation.

Management of 10p monosomy includes a comprehensive evaluation of the major clinical criteria: developmental delay, feeding difficulties, hypocalcemia, deafness, cardiac defects, and recurrent infections. Pediatricians, neurologists, nephrologists and endocrinologists should be involved as appropriate. Developmental assessments with speech, physical and occupational therapists are required.

The prognosis is variable, depending on the malformations associated."
What is 12q14 microdeletion syndrome.,"12q14 microdeletion syndrome

12q14 microdeletion syndrome is characterised by mild intellectual deficit, failure to thrive, short stature and osteopoikilosis. It has been described in four unrelated patients. The syndrome appears to be caused by a heterozygous deletion at chromosome region 12q14, which was detected in three of the four patients. The deleted region contains the LEMD3 gene: mutations in this gene have already been implicated in osteopoikilosis.

UMLS: C4305140

Age of onset: Childhood"
What is Systemic mastocytosis.,"Systemic mastocytosis

A heterogeneous group of rare, acquired and chronic hematological malignancies related to an abnormal accumulation/proliferation of neoplastic mast cells (MCs) in one or several organs, mainly the bone marrow (BM), associated frequently with skin involvement.

UMLS: C0221013

Age of onset: All ages

SM is mainly observed in adults (average age at diagnosis is 60 years) and is very rare in the pediatric population. SM can be divided into five variants: indolent SM (ISM), smoldering systemic mastocytosis (SSM), aggressive SM (ASM), SM with an associated hematologic neoplasm (SM-AHN) and mast cell leukemia (MCL), the later 3 variants being collectively termed advanced SM (advSM). In ISM, there are no signs of high mast cell burden (B-findings) and no organ dysfunction (C-findings). SSM is a slowly progressive SM with B-findings. By contrast, advSM variants are characterized by (multiple) C-findings.

Consensus criteria for the diagnosis of systemic mastocytosis established by the WHO include one major criterion - the presence of aggregates of at least 15 MCs identified in BM or other extracutaneous organ biopsies (usually revealed after tryptase staining of biopsies) - and four minor criteria: the presence of more than 25% of MCs with atypical morphology in BM smears (spindle-shaped, degranulated and/or multinucleated MCs); aberrant immunophenotype of MCs which frequently abnormally express non-mast cell markers (CD25 and/or CD2); presence of a point mutation in codon 816 of the KIT gene in BM; peripheral blood or other extracutaneous organs; and increased level of serum tryptase (above 20 ng/mL). For diagnosis of SM, at least the major and one minor criterion or at least three minor criteria are fulfilled. The disease is then categorized, as described above, according to the presence of B-findings and C-findings.

Differential diagnoses of SM include all the other causes of mast cell activation syndromes (MCAS): primary (clonal, but not fulfilling SM diagnostic criteria) MCAS; secondary MCAS where an IgE-dependent allergy (most cases) or another reactive inflammatory disease process is present (and is considered to be the causative etiology); and idiopathic MCAS where neither clonal MC nor an IgE-dependent allergy or another underlying condition/disease can be documented. As well, differential diagnoses include other forms of mastocytosis (cutaneous mastocytosis, mast cell sarcoma), endocrine disorders (adrenal tumors, VIPoma,, Zollinger-Ellison syndrome), some gastrointestinal pathologies, allergies, other myeloproliferative diseases that affect bone marrow, histiocytosis, hypereosinophilic syndrome and Waldenström macroglobulinemia.

The prevalence in Europe is estimated between 1/7,700 and 1/10,400. Systemic mastocytosis (SM) preferentially affects Caucasians and there is no sex predominance.

Most patients with SM present activating mutations in KIT, the receptor of the stem cell factor, in their neoplastic MCs. Of note, a recurrent KIT mutation (D816V; exon 17 of the KIT gene) located in the phosphotransferase domain of the receptor is detectable in most patients (> 80% of all SM patients), including those with advSM. Other less frequent mutations affect exons 2, 8, and 9 encoding for the extracellular domain or exons 13 and 14 encoding for Kinase Domain 1 of KIT. Whatsoever, the various KIT mutations encountered in SM result in uncontrolled activation of the receptor, making the migration, survival and activation of MCs independent of stem cell factor.

SM is usually a sporadic disease, although a few familial cases have been reported so far, for which no genetic counseling is available.

Management depends on the type of SM. Treatment of ISM and stable SSM is typically symptomatic (antihistamines, corticosteroids or disodium cromoglyylcate). For advanced SM treatment is symptomatic (antihistamines anti-H1 and H2) and antiproliferative with non-targeted (e.g interferon alpha) or targeted cytoreductive therapy with KIT tyrosine kinase inhibitors. Hydroxyurea (HU) is given in patients with SM-AHN. Allogeneic stem cell transplantation (allo-SCT) is rarely used and reserved for fit patients with very aggressive, life-threatening advSM and a suitable donor.

Prognosis depends on the type of SM."
What is Congenital factor V deficiency.,"Congenital factor V deficiency

Congenital factor V deficiency is an inherited bleeding disorder due to reduced plasma levels of factor V (FV) and characterized by mild to severe bleeding symptoms.

UMLS: C0015499

Age of onset: All ages

Congenital FV deficiency can manifest at any age, with the most severe forms manifesting early in life. Common clinical signs include epistaxis, bruising, mucosal bleeding, soft tissue bleeding, and hemarthrosis. Excessive and prolonged bleeding during or following surgery, delivery or trauma are frequent. Women may present with menorrhagia. In severe forms of the disease, there can be a risk of intracranial, pulmonary or gastrointestinal bleedings. The severity of the bleeding manifestations correlates with the FV levels.

Diagnosis is based on prolonged prothrombin and activated partial thromboplastin times (PT, aPTT) and on low FV levels measured using a PT based assay. The bleeding time (BT) may be prolonged. Molecular testing is available, but unnecessary for diagnosis.

Differential diagnoses include factor VIII deficiency, and combined deficiency of factor V and factor VIII.

Prevalence of homozygous forms is estimated at 1/1,000,000. Both sexes are equally affected.

Congenital FV deficiency is caused by mutations in the F5 gene (1q23) controlling the production of plasma FV.

Transmission is autosomal recessive.

Fresh frozen plasma (FFP) is the only treatment as FV concentrates are not available. In acute cases of severe bleeding, the addition of platelet concentrates may be helpful.

Prognosis is good with early diagnosis and adequate treatment."
What is Trisomy 4p syndrome.,"Trisomy 4p syndrome

Trisomy 4p is a rare chromosomal anomaly syndrome, resulting from the partial duplication of the short arm of chromosome 4, with a highly variable phenotype, typically characterized by pre- and postnatal growth delay, psychomotor developmental delay and craniofacial dysmorphism (microcephaly, prominent glabelle, hypertelorism, enlarged ears with abnormal helix and antihelix, bulbous nose with flat or depressed nasal bridge, long philtrum, retrognathia with pointed chin). Additional features include skeletal (rocker bottom feet, arachnodactyly, camptodactyly) and renal malformations, cardiac defects, ocular abnormalities and abnormal genitalia in males.

UMLS: C0265405

Age of onset: Antenatal, Infancy, Neonatal"
What is Holoprosencephaly.,"Holoprosencephaly

A rare complex brain malformation characterized by incomplete cleavage of the prosencephalon, and affecting both the forebrain and face and resulting in neurological manifestations and facial anomalies of variable severity.

UMLS: C0079541

Age of onset: Antenatal, Neonatal

Due to the high clinical and genetic variability, prenatal diagnosis is based on ultrasound scans and MRI rather than on molecular diagnosis, and may be useful in mothers with diabetes and those with a family history of HPE. Some parents of a child with a structural unbalanced chromosome rearrangement (e.g., deletion, duplication) have a balanced chromosome rearrangement and should be offered chromosome analysis by chorionic villus biopsy or amniocentesis.

Three classical forms of holoprosencephaly (HPE) of increasing severity are described based on the degree of anatomical separation: lobar, semi-lobar and alobar HPE. Milder subtypes include midline interhemispheric variant and septopreoptic HPE. There is, however, a continuous spectrum of abnormal separation of the hemispheres that extends from aprosencephaly/atelencephaly, the most severe end of the spectrum, to microform HPE, a less severe midline defect without the typical HPE brain characteristics. There is significant inter- and intrafamilial clinical variability across this spectrum. In most cases, there is a correlation between the severity of the facial anomalies and the brain defect (except in cases of mutation in the ZIC2 gene). In decreasing severity, the main craniofacial features are cyclopia, proboscis, premaxillary agenesis, median or bilateral cleft lip/palate, coloboma, retinal dysplasia, choanal stenosis, pyriform sinus stenosis, hypotelorism, solitary maxillary median incisor (SMMI) or even normal face. Severe forms are often fatal and mortality is correlated with the severity of brain malformation and associated defects. In surviving children, a wide range of associated manifestations are reported: developmental delay, hydrocephalus, motor impairment, spasticity, feeding difficulties and oromotor dysfunction, epilepsy, hypothalamic dysfunction. Endocrine disorders due to pituitary defects such as central diabetes insipidus are frequent.

Most severe cases are detected by systematic ultrasound scan and magnetic resonance imaging (MRI) during pregnancy or after birth. At the other end of the spectrum, diagnosis is based on clinical features.

Differential diagnosis includes anencephaly, severe congenital hydrocephalus, Walker-Warburg syndrome, large interhemispheric cyst, otocephaly and other midline defects, as well as syndromic and chromosomal-related forms.

Prevalence is estimated to be 1/10,000 live and still births and 1/250 conceptuses, with worldwide distribution.

HPE is due to incomplete cleavage of the prosencephalon between the 18th and 28th day of gestation. The etiology is typically genetic and often oligogenic; however, environmental factors during this period (maternal diabetes or hypocholesterolemia during gestation) may contribute. HPE may also be associated with certain syndromes or chromosomal abnormalities (such as Smith-Lemli-Opitz syndrome, Hartsfield Syndrome and trisomy 13). In isolated HPE, at least 20 genes have been implicated: major genes include SHH (7q36), ZIC2 (13q32), SIX3 (2p21), GLI2 (2q14), FGF8 (10q24) and FGFR1 (8p11) in addition to more than 15 minor genes. The major common effect of the identified pathogenic mutations is the impairment of SHH activity leading to disruption of the ventral midline of the brain, and interference with the early stages of forebrain and eye development. SHH-dosage is crucial in the disease mechanism and might determine disease severity.

Genetic counseling (GC) is strongly recommended for affected families; it is particularly complex and requires thorough clinical evaluation and family history, with close attention to possible risk factors (especially maternal diabetes), microform findings in relatives, and associated signs. If a genetic etiology is established in a proband, specific counseling for recurrence risk is indicated. In non-syndromic HPE, all modes of inheritance have been described; however, most cases are complex with digenic or oligogenic inheritance.

Treatment is symptomatic and supportive, and requires a multidisciplinary approach.

Prognosis depends on severity and the associated complications."
What is Autosomal recessive hypohidrotic ectodermal dysplasia.,"Autosomal recessive hypohidrotic ectodermal dysplasia

ORPHA:248

UMLS: C0406702

Age of onset: Infancy, Neonatal"
What is Acute myelomonocytic leukemia.,"Acute myelomonocytic leukemia

A rare acute myeloid leukemia disorder characterized by increased blast cells (myeloblasts, monoblast, and/or promonoblasts), representing more than 20% of the total bone marrow (BM) or peripheral blood differential counts, with 20-80% of BM cells being of monocytic lineage. Clinical presentation is the result of bone marrow involvement and extramedullary infiltration by the leukemic cells and includes asthenia, pallor, fever, dizziness, respiratory symptoms, easy bruising, bleeding disorders, and neurological deficits. Gingival hyperplasia, organomegaly, especially hepatosplenomegaly, and lymphadenopathy may also be associated.

UMLS: C0023479

Age of onset: Adult"
What is X-linked progressive cerebellar ataxia.,"X-linked progressive cerebellar ataxia

A rare X-linked cerebellar ataxia, characterized by a combination of upper and lower motor neuron signs, with an age of onset in the first or second decade, slow progression, and normal intelligence. Typical features of cerebellar dysfunction include gait and limb ataxia, intention tremor, dysmetria, dysdiadochokinesia, dysarthria, nystagmus, and hyperreflexia. Further phenotypic features are pes cavus, scoliosis, muscle atrophy, and peripheral sensory and motor nerve abnormalities.

UMLS: C5231313

Age of onset: Childhood"
What is Microphthalmia with limb anomalies.,"Microphthalmia with limb anomalies

A rare developmental disorder characterized by bilateral microphthalmia or anophthalmia, synostosis, syndactyly, oligodactyly and/or polydactyly.

UMLS: C0599973

Age of onset: Antenatal, Neonatal

Prenatal testing via CVS or amniocentesis is possible if the causative mutation in a family has been identified. Ultrasound can also be utilized to identify the limb anomalies associated with OAS.

The disease presents at birth with unilateral, or more often, bilateral anophthalmia or microphthalmia and numerous limb anomalies (including synostosis, syndactyly, oligodactyly, polydactyly and long bone hypoplasia). Typically patients have clinical anophthalmia/severe microphthalmia with little/no vision. The most common limb anomalies are synostosis of the fourth and fifth metacarpals, a short 5th finger and only 4 toes bilaterally. Developmental milestones (such as responsive smile) are often delayed and most patients have moderate to severe intellectual deficiencies. Facial features can include flattened midface, sparse eyelashes, short palpebral fissures, high palate and cleft lip. Renal (horseshoe kidney), venous and vertebral anomalies have also been reported in rare cases. Early postnatal/perinatal death has occurred in several cases.

Diagnosis is based on the presence of characteristic clinical findings. Computed tomography (CT) scans and magnetic resonance imaging (MRI) can also be helpful in identifying the presence or absence of the globe, optic nerve and extra ocular muscles. Identifying a mutation in the SMOC1 gene confirms diagnosis.

Differential diagnoses include isolated cryptophthalmia and other forms of syndromic microphthalmia such as microphthalmia, Lenz type, oculofaciocardiodental syndrome and anophthalmia/microphthalmia-esophageal atresia.

The prevalence is unknown but more than 35 cases have been reported to date, mainly from consanguineous parents.

The majority of cases are caused by mutations in the SPARC-related modular calcium binding protein 1 SMOC1 gene (14q24.1) which may be involved in the regulation of bone morphogenetic proteins. The existence of other causative genes is possible but they have not yet been discovered. The FNBP4 gene (11q12.1) was identified in a case with a phenotype similar to OAS but further studies are necessary to conclude if it is indeed causative of OAS.

The disease is inherited autosomal recessively so genetic counseling is possible in affected families and can help in informing parents of the recurrence risk of OAS in subsequent pregnancies. If both parents are carriers there is a 25% risk with each pregnancy of having an affected child.

There is no cure for OAS. Treatment for anophthalmia/microphthalmia may be discussed with an oculoplastic surgeon and ocularist. For anophthalmia, expansion of the eyelids, socket and orbital bones is recommended as soon as possible after birth and is done via conformer therapy by an ocularist or by oculoplastic surgery using hydrogel socket expanders followed by orbital implants or dermis-fat grafts. This can help patients with achieving a more typical appearance by preventing facial deformity. Those with some vision (if the microphthalmia is not severe) may benefit from visual aids. Some limb abnormalities may also be surgically corrected to help the patient gain mobility or function, therefore orthopedic evaluation is necessary. All individuals with OAS should receive evaluation by a vision teacher and special education may be necessary.

Little is known about the prognosis given the rarity but quality of life is usually affected due to intellectual disability, visual impairment and limb anomalies."
